CATEGORY,RANK,ITEM_ID,IS_NEW
Bags,1,7950-79,false
Bags,2,SM-7925,false
Bags,3,3860-81,false
Bags,4,SM-5727,false
Bags,5,SM-7774,false
Bags,6,3005-73,false
Bags,7,SM-7085,false
Bags,8,0022-46,false
Bags,9,2020-01,false
Bags,10,SM-7209,false
Bags,11,8250-06,false
Bags,12,8151-10,false
Bags,13,8150-59,false
Bags,14,SM-7333,false
Bags,15,7901-08,false
Bags,16,7900-30,false
Bags,17,SM-7440,false
Bags,18,3860-49,false
Bags,19,SM-7344,false
Bags,20,SM-5717,false
Bags,21,SM-7103,false
Bags,22,SM-7428,false
Bags,23,SM-7533,false
Bags,24,2180-10,false
Bags,25,SM-7126,false
Bags,26,SM-7725,false
Bags,27,SM-5779,false
Bags,28,SM-7779,false
Bags,29,SM-7314,false
Bags,30,1111-05,false
Bags,31,9020-89,false
Bags,32,8050-12,false
Bags,33,SM-7102,false
Bags,34,SM-7372,false
Bags,35,3860-76,false
Bags,36,3860-58,false
Bags,37,SM-7062,false
Bags,38,SM-7236,false
Bags,39,2180-04,false
Bags,40,0011-47,false
Bags,41,4200-21,false
Bags,42,3850-62,false
Bags,43,0011-45,false
Bags,44,SM-5715,false
Bags,45,SM-7396,false
Bags,46,SM-7431,false
Bags,47,3860-47,false
Bags,48,SM-5819,false
Bags,49,SM-7427,false
Bags,50,SM-5807,false
Bags,51,7901-06,false
Bags,52,SM-7412,false
Bags,53,SM-7329,false
Bags,54,SM-7757,false
Bags,55,8052-97,false
Bags,56,SM-7766,false
Bags,57,SM-7403,false
Bags,58,5790-01,false
Bags,59,SM-5915,false
Bags,60,SM-7346,false
Bags,61,SM-5968,false
Bags,62,SM-7767,false
Bags,63,SM-7548,false
Bags,64,3860-59,false
Bags,65,2180-21,false
Bags,66,SM-7453,false
Bags,67,7950-80,false
Bags,68,3450-34,false
Bags,69,8050-80,false
Bags,70,7901-13,true
Bags,71,7901-07,false
Bags,72,SM-7269,false
Bags,73,SM-7509,false
Bags,74,3860-55,false
Bags,75,7950-20,false
Bags,76,SM-7500,false
Bags,77,SM-5830,false
Bags,78,3850-21,false
Bags,79,SM-5903,false
Bags,80,3450-96,false
Bags,81,SM-5892,false
Bags,82,6440-10,false
Bags,83,3860-66,false
Bags,84,8050-37,false
Bags,85,2009-32,false
Bags,86,2600-04,false
Bags,87,7901-15,false
Bags,88,3900-03,false
Bags,89,SM-7408,false
Bags,90,3860-57,false
Bags,91,SM-7325,false
Bags,92,SM-7227,false
Bags,93,SM-5894,false
Bags,94,2610-02,false
Bags,95,SM-7475,false
Bags,96,3950-04,false
Bags,97,2600-08,false
Bags,98,3450-74,false
Bags,99,4400-01,false
Bags,100,2301-18,false
Bags,101,SM-5757,false
Bags,102,SM-5973,false
Bags,103,3950-16,false
Bags,104,2009-07,false
Bags,105,5790-04,false
Bags,106,SM-7353,false
Bags,107,2009-08,false
Bags,108,6760-45,false
Bags,109,2009-02,false
Bags,110,9020-65,false
Bags,111,SM-7420,false
Bags,112,9008-04,true
Bags,113,SM-7778,false
Bags,114,3750-08,false
Bags,115,3450-56,false
Bags,116,3950-01,false
Bags,117,SM-5843,false
Bags,118,2301-60,false
Bags,119,7950-77,false
Bags,120,SM-7753,false
Bags,121,3950-19,false
Bags,122,SM-7320,false
Bags,123,SM-7378,false
Bags,124,8051-87,false
Bags,125,8050-39,false
Bags,126,SM-5994,false
